coin_name,inv0,cl_name,cl_canshu,is_run,cl_id,cl_index
SImain,15min,convexity_higher1^6^SMA|skew_negative^25^EMA&tsi_crossover_signal^220^154^132^SMA|smi_d_crossover0^180^90^54^EMA|sma_fast_crossover_slow_3^170^272|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^89|trailing_stop^34^2.5,0,1,convexity_higher1^6^SMA|skew_negative^25^EMA&tsi_crossover_signal^220^154^132^SMA|smi_d_crossover0^180^90^54^EMA|sma_fast_crossover_slow_3^170^272|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^89|trailing_stop^34^2.5,convexity_higher1^6^SMA|skew_negative^25^EMA&tsi_crossover_signal^220^154^132^SMA|smi_d_crossover0^180^90^54^EMA|sma_fast_crossover_slow_3^170^272|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^89|trailing_stop^34^2.5
SImain,15min,convexity_higher1^6^SMA|skew_negative^25^EMA&smi_d_crossover0^180^90^54^EMA|sma_fast_crossover_slow_3^170^272|smi_k_crossover0^210^105^EMA|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^109|trailing_stop^34^2.5,0,1,convexity_higher1^6^SMA|skew_negative^25^EMA&smi_d_crossover0^180^90^54^EMA|sma_fast_crossover_slow_3^170^272|smi_k_crossover0^210^105^EMA|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^109|trailing_stop^34^2.5,convexity_higher1^6^SMA|skew_negative^25^EMA&smi_d_crossover0^180^90^54^EMA|sma_fast_crossover_slow_3^170^272|smi_k_crossover0^210^105^EMA|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^109|trailing_stop^34^2.5
SImain,15min,convexity_higher1^6^SMA|skew_negative^25^EMA&smacd_crossover_signal_2^220^308^154|smi_d_crossover0^180^90^54^EMA|sma_fast_crossover_slow_3^170^272|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^109|trailing_stop^34^2.5,0,1,convexity_higher1^6^SMA|skew_negative^25^EMA&smacd_crossover_signal_2^220^308^154|smi_d_crossover0^180^90^54^EMA|sma_fast_crossover_slow_3^170^272|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^109|trailing_stop^34^2.5,convexity_higher1^6^SMA|skew_negative^25^EMA&smacd_crossover_signal_2^220^308^154|smi_d_crossover0^180^90^54^EMA|sma_fast_crossover_slow_3^170^272|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^109|trailing_stop^34^2.5
SImain,15min,convexity_higher1^6^SMA|skew_negative^25^EMA&smi_d_crossover0^180^90^54^EMA|smi_d_crossover0^210^63^63^EMA|sma_fast_crossover_slow_3^170^272|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^109|trailing_stop^34^2.5,0,1,convexity_higher1^6^SMA|skew_negative^25^EMA&smi_d_crossover0^180^90^54^EMA|smi_d_crossover0^210^63^63^EMA|sma_fast_crossover_slow_3^170^272|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^109|trailing_stop^34^2.5,convexity_higher1^6^SMA|skew_negative^25^EMA&smi_d_crossover0^180^90^54^EMA|smi_d_crossover0^210^63^63^EMA|sma_fast_crossover_slow_3^170^272|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^109|trailing_stop^34^2.5
SImain,15min,convexity_higher1^6^SMA|skew_negative^25^EMA&smacd_crossover_signal^220^308^154|tsi_crossover_signal^220^154^132^SMA|sma_fast_crossover_slow_3^170^272|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^59|trailing_stop^34^3.0,0,1,convexity_higher1^6^SMA|skew_negative^25^EMA&smacd_crossover_signal^220^308^154|tsi_crossover_signal^220^154^132^SMA|sma_fast_crossover_slow_3^170^272|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^59|trailing_stop^34^3.0,convexity_higher1^6^SMA|skew_negative^25^EMA&smacd_crossover_signal^220^308^154|tsi_crossover_signal^220^154^132^SMA|sma_fast_crossover_slow_3^170^272|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^59|trailing_stop^34^3.0
SImain,15min,convexity_higher1^6^SMA|skew_negative^25^EMA&smi_d_crossover0^210^63^63^EMA|sma_fast_crossover_slow_3^170^272|kdj_d_crossover50^220^132^110|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^109|trailing_stop^34^2.5,0,1,convexity_higher1^6^SMA|skew_negative^25^EMA&smi_d_crossover0^210^63^63^EMA|sma_fast_crossover_slow_3^170^272|kdj_d_crossover50^220^132^110|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^109|trailing_stop^34^2.5,convexity_higher1^6^SMA|skew_negative^25^EMA&smi_d_crossover0^210^63^63^EMA|sma_fast_crossover_slow_3^170^272|kdj_d_crossover50^220^132^110|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^109|trailing_stop^34^2.5
SImain,15min,convexity_higher1^6^SMA|skew_negative^25^EMA&smi_k_crossover_d^250^150^225|sma_fast_crossover_slow_3^170^272|stoch_k_crossover50^220^176|smacd_histogram_start_increase^110^220^99&trailing_stop^34^3.0|trailing_stop^34^2.5,0,1,convexity_higher1^6^SMA|skew_negative^25^EMA&smi_k_crossover_d^250^150^225|sma_fast_crossover_slow_3^170^272|stoch_k_crossover50^220^176|smacd_histogram_start_increase^110^220^99&trailing_stop^34^3.0|trailing_stop^34^2.5,convexity_higher1^6^SMA|skew_negative^25^EMA&smi_k_crossover_d^250^150^225|sma_fast_crossover_slow_3^170^272|stoch_k_crossover50^220^176|smacd_histogram_start_increase^110^220^99&trailing_stop^34^3.0|trailing_stop^34^2.5
SImain,15min,convexity_higher1^6^SMA|skew_negative^25^EMA&smi_k_crossover_d^250^150^225|smi_k_crossover0^190^95^SMA|sma_fast_crossover_slow_3^170^272|smacd_histogram_start_increase^110^220^99&trailing_stop^34^3.0|trailing_stop^34^2.5,0,1,convexity_higher1^6^SMA|skew_negative^25^EMA&smi_k_crossover_d^250^150^225|smi_k_crossover0^190^95^SMA|sma_fast_crossover_slow_3^170^272|smacd_histogram_start_increase^110^220^99&trailing_stop^34^3.0|trailing_stop^34^2.5,convexity_higher1^6^SMA|skew_negative^25^EMA&smi_k_crossover_d^250^150^225|smi_k_crossover0^190^95^SMA|sma_fast_crossover_slow_3^170^272|smacd_histogram_start_increase^110^220^99&trailing_stop^34^3.0|trailing_stop^34^2.5
SImain,15min,convexity_higher1^6^SMA|skew_negative^25^EMA&tsi_crossover_signal^220^154^132^SMA|sma_fast_crossover_slow_3^170^272|stoch_d_crossover50^200^140^60|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^59|trailing_stop^34^3.0,0,1,convexity_higher1^6^SMA|skew_negative^25^EMA&tsi_crossover_signal^220^154^132^SMA|sma_fast_crossover_slow_3^170^272|stoch_d_crossover50^200^140^60|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^59|trailing_stop^34^3.0,convexity_higher1^6^SMA|skew_negative^25^EMA&tsi_crossover_signal^220^154^132^SMA|sma_fast_crossover_slow_3^170^272|stoch_d_crossover50^200^140^60|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^59|trailing_stop^34^3.0
SImain,15min,convexity_higher1^6^SMA|skew_negative^25^EMA&smi_k_crossover_d^250^150^225|sma_fast_crossover_slow_3^170^272|kdj_k_crossover50^240^216|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^109|trailing_stop^34^2.5,0,1,convexity_higher1^6^SMA|skew_negative^25^EMA&smi_k_crossover_d^250^150^225|sma_fast_crossover_slow_3^170^272|kdj_k_crossover50^240^216|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^109|trailing_stop^34^2.5,convexity_higher1^6^SMA|skew_negative^25^EMA&smi_k_crossover_d^250^150^225|sma_fast_crossover_slow_3^170^272|kdj_k_crossover50^240^216|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^109|trailing_stop^34^2.5
