datetime,open,high,low,close,volume,convexity_higher1^6^SMA|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294&trailing_stop^34^3.5|trailing_stop^34^2.5,tsi_neutral^220^176^10.0^-10.0^SMA|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|mass_crossover1^220^88&aroon_diff_crossunder0^89|trailing_stop^34^2.5,smacd_increase^80^128|smi_k_higher_d^50^40^35&smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294|tsi_crossover0^80^24^EMA|smi_d_crossover0^230^207^207^EMA&aroon_diff_crossunder0^109|trailing_stop^34^2.5,tsi_neutral^220^176^10.0^-10.0^SMA|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|ema_fast_crossover_slow^30^72&aroon_diff_crossunder0^89|trailing_stop^34^2.5,kc_neutral^35.0^14.0^2.5|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294&trailing_stop^34^3.0|trailing_stop^34^2.5,tsi_neutral^220^176^10.0^-10.0^SMA|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|mass_crossover1^220^88&trailing_stop^34^3.5|trailing_stop^34^2.5,kc_neutral^35.0^14.0^2.5|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294&aroon_diff_crossunder0^89|trailing_stop^34^2.5,tsi_neutral^220^176^10.0^-10.0^SMA|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|adx_crossunder_threshold^190.0^10.0&trailing_stop^34^3.5|trailing_stop^34^2.5,smacd_increase^80^128|smi_k_higher_d^50^40^35&smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294|mass_crossover1^220^88|ema_fast_crossover_slow^30^72&aroon_diff_crossunder0^109|trailing_stop^34^2.5,smacd_increase^80^128|smi_k_higher_d^50^40^35&smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294|mass_crossover1^220^88|tsi_crossover0^80^24^EMA&aroon_diff_crossunder0^109|trailing_stop^34^2.5,tsi_neutral^220^176^10.0^-10.0^SMA|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|smi_d_crossover0^230^207^207^EMA&trailing_stop^34^3.0|trailing_stop^34^2.5,tsi_neutral^220^176^10.0^-10.0^SMA|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|ema_fast_crossover_slow^30^72&trailing_stop^34^3.0|trailing_stop^34^2.5
2026-02-02 05:30:00,10.55,10.5525,10.5475,10.5475,543.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 05:45:00,10.5475,10.55,10.5325,10.535,744.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 06:00:00,10.535,10.54,10.5325,10.5325,470.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 06:15:00,10.535,10.535,10.5175,10.5325,1378.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 06:30:00,10.5325,10.5625,10.5325,10.56,1670.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 06:45:00,10.56,10.5625,10.5525,10.5575,635.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 07:00:00,10.555,10.57,10.555,10.565,249.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 07:15:00,10.565,10.5675,10.56,10.5675,169.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 07:30:00,10.5675,10.5675,10.56,10.56,112.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 07:45:00,10.56,10.5725,10.56,10.5675,319.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 08:00:00,10.5675,10.57,10.56,10.565,211.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 08:15:00,10.5675,10.5725,10.565,10.57,339.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 08:30:00,10.5725,10.58,10.5725,10.5775,120.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 08:45:00,10.5775,10.58,10.575,10.575,119.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 09:00:00,10.5775,10.5775,10.5625,10.5675,270.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 09:15:00,10.5675,10.57,10.5625,10.57,74.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 09:30:00,10.57,10.5825,10.5675,10.58,181.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 09:45:00,10.5775,10.585,10.575,10.5825,544.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 10:00:00,10.585,10.5975,10.5825,10.595,347.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 10:15:00,10.595,10.595,10.585,10.585,148.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 10:30:00,10.585,10.5925,10.5775,10.5775,273.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 10:45:00,10.58,10.59,10.575,10.585,234.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 11:00:00,10.585,10.59,10.575,10.5875,146.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 11:15:00,10.5875,10.59,10.5825,10.59,84.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 11:30:00,10.5875,10.59,10.585,10.5875,103.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 11:45:00,10.5875,10.59,10.5825,10.585,75.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 12:00:00,10.5875,10.6,10.5875,10.5925,418.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 12:15:00,10.595,10.5975,10.58,10.595,396.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 12:30:00,10.595,10.6025,10.595,10.595,734.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 12:45:00,10.595,10.5975,10.58,10.59,641.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 13:00:00,10.59,10.595,10.5875,10.59,471.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 13:15:00,10.59,10.59,10.575,10.58,393.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 13:30:00,10.5825,10.59,10.5775,10.585,494.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 14:30:00,10.58,10.6125,10.5725,10.6025,6660.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 14:45:00,10.6025,10.6175,10.5975,10.61,2898.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 15:00:00,10.61,10.615,10.5975,10.61,3268.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 15:15:00,10.6125,10.6125,10.5775,10.585,2229.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 15:30:00,10.585,10.61,10.5825,10.585,1953.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 15:45:00,10.5875,10.6075,10.5825,10.6075,2271.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 16:00:00,10.605,10.6125,10.59,10.595,2025.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 16:15:00,10.5975,10.61,10.5925,10.6025,875.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 16:30:00,10.6025,10.6075,10.5875,10.59,874.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 16:45:00,10.5925,10.5925,10.58,10.585,1491.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 17:00:00,10.5825,10.5975,10.5825,10.595,1289.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 17:15:00,10.5975,10.5975,10.585,10.5875,862.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 17:30:00,10.59,10.6,10.5875,10.5925,987.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 17:45:00,10.5925,10.5975,10.5875,10.59,999.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 18:00:00,10.59,10.595,10.585,10.5925,1027.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 18:15:00,10.5925,10.6,10.59,10.5925,1238.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 18:30:00,10.5925,10.595,10.5825,10.59,1306.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 18:45:00,10.59,10.5975,10.5875,10.595,1632.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 19:00:00,10.5925,10.6075,10.59,10.605,3782.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 19:15:00,10.6075,10.6075,10.595,10.6,1584.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-03 01:00:00,10.605,10.65,10.6,10.6475,2225.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-03 01:15:00,10.65,10.6625,10.6475,10.65,760.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-03 01:30:00,10.65,10.65,10.64,10.6425,499.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-03 01:45:00,10.6425,10.6425,10.635,10.6375,532.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-03 02:00:00,10.6375,10.6375,10.6225,10.6225,1040.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-03 02:15:00,10.6225,10.6275,10.6125,10.615,177.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-03 02:30:00,10.615,10.615,10.6075,10.61,459.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-03 02:45:00,10.61,10.615,10.6075,10.615,198.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-03 03:00:00,10.6175,10.6175,10.6125,10.615,300.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-03 03:15:00,10.6125,10.62,10.6125,10.62,54.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-03 03:30:00,10.62,10.625,10.6175,10.62,111.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-03 03:45:00,10.62,10.625,10.62,10.625,17.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-03 04:00:00,10.625,10.6275,10.625,10.625,127.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-03 04:15:00,10.6275,10.63,10.6275,10.6275,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-03 04:30:00,10.6275,10.6275,10.6275,10.6275,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-03 04:45:00,10.6275,10.63,10.625,10.6275,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-03 05:00:00,10.63,10.63,10.63,10.63,28.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-03 05:15:00,10.63,10.6325,10.6275,10.63,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-03 05:30:00,10.63,10.63,10.62,10.625,257.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-03 05:45:00,10.6225,10.625,10.62,10.625,149.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-03 06:00:00,10.6225,10.625,10.62,10.6225,253.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-03 06:15:00,10.6225,10.635,10.62,10.635,403.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-03 06:30:00,10.635,10.635,10.63,10.63,352.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-03 06:45:00,10.63,10.63,10.605,10.6075,1100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-03 07:00:00,10.605,10.62,10.605,10.615,244.0,1.0004429514380009,1.0004429514380009,1.0,1.0004429514380009,1.0004429514380009,1.0004429514380009,1.0004429514380009,1.0004429514380009,1.0,1.0,1.0004429514380009,1.0004429514380009
2026-02-03 07:15:00,10.615,10.615,10.6125,10.615,66.0,1.0004429514380009,1.0004429514380009,1.0,1.0004429514380009,1.0004429514380009,1.0004429514380009,1.0004429514380009,1.0004429514380009,1.0,1.0,1.0004429514380009,1.0004429514380009
2026-02-03 07:30:00,10.6175,10.62,10.6175,10.62,168.0,1.0009144271570014,1.0009144271570014,1.0,1.0009144271570014,1.0009144271570014,1.0009144271570014,1.0009144271570014,1.0009144271570014,1.0,1.0,1.0009144271570014,1.0009144271570014
2026-02-03 07:45:00,10.62,10.625,10.6175,10.6175,203.0,1.0006786892975013,1.0006786892975013,1.0,1.0006786892975013,1.0006786892975013,1.0006786892975013,1.0006786892975013,1.0006786892975013,1.0,1.0,1.0006786892975013,1.0006786892975013
2026-02-03 08:00:00,10.62,10.6275,10.6175,10.625,210.0,1.001385902876002,1.001385902876002,1.0,1.001385902876002,1.001385902876002,1.001385902876002,1.001385902876002,1.001385902876002,1.0,1.0,1.001385902876002,1.001385902876002
2026-02-03 08:15:00,10.625,10.64,10.62,10.635,547.0,1.0023288543140028,1.0023288543140028,1.0,1.0023288543140028,1.0023288543140028,1.0023288543140028,1.0023288543140028,1.0023288543140028,1.0,1.0,1.0023288543140028,1.0023288543140028
2026-02-03 08:30:00,10.635,10.64,10.625,10.6275,460.0,1.001621640735502,1.001621640735502,1.0,1.001621640735502,1.001621640735502,1.001621640735502,1.001621640735502,1.001621640735502,1.0,1.0,1.001621640735502,1.001621640735502
2026-02-03 08:45:00,10.6275,10.6275,10.6225,10.6275,139.0,1.001621640735502,1.001621640735502,1.0,1.001621640735502,1.001621640735502,1.001621640735502,1.001621640735502,1.001621640735502,1.0,1.0,1.001621640735502,1.001621640735502
2026-02-03 09:00:00,10.625,10.6425,10.62,10.64,390.0,1.0028003300330033,1.0028003300330033,1.0,1.0028003300330033,1.0028003300330033,1.0028003300330033,1.0028003300330033,1.0028003300330033,1.0,1.0,1.0028003300330033,1.0028003300330033
2026-02-03 09:15:00,10.6375,10.6425,10.6325,10.6375,513.0,1.002564592173503,1.002564592173503,1.0,1.002564592173503,1.002564592173503,1.002564592173503,1.002564592173503,1.002564592173503,1.0,1.0,1.002564592173503,1.002564592173503
2026-02-03 09:30:00,10.64,10.655,10.64,10.65,401.0,1.0037432814710043,1.0037432814710043,1.0,1.0037432814710043,1.0037432814710043,1.0037432814710043,1.0037432814710043,1.0037432814710043,1.0,1.0,1.0037432814710043,1.0037432814710043
2026-02-03 09:45:00,10.65,10.6575,10.6475,10.65,418.0,1.0037432814710043,1.0037432814710043,1.0,1.0037432814710043,1.0037432814710043,1.0037432814710043,1.0037432814710043,1.0037432814710043,1.0,1.0,1.0037432814710043,1.0037432814710043
2026-02-03 10:00:00,10.6525,10.6625,10.6525,10.66,400.0,1.0046862329090052,1.0046862329090052,1.0,1.0046862329090052,1.0046862329090052,1.0046862329090052,1.0046862329090052,1.0046862329090052,1.0,1.0,1.0046862329090052,1.0046862329090052
2026-02-03 10:15:00,10.66,10.6675,10.66,10.6625,340.0,1.0049219707685053,1.0049219707685053,1.0,1.0049219707685053,1.0049219707685053,1.0049219707685053,1.0049219707685053,1.0049219707685053,1.0,1.0,1.0049219707685053,1.0049219707685053
2026-02-03 10:30:00,10.6625,10.67,10.66,10.6675,578.0,1.0053934464875058,1.0053934464875058,1.0,1.0053934464875058,1.0053934464875058,1.0053934464875058,1.0053934464875058,1.0053934464875058,1.0,1.0,1.0053934464875058,1.0053934464875058
2026-02-03 10:45:00,10.6675,10.6725,10.665,10.67,518.0,1.0056291843470062,1.0056291843470062,1.0,1.0056291843470062,1.0056291843470062,1.0056291843470062,1.0056291843470062,1.0056291843470062,1.0,1.0,1.0056291843470062,1.0056291843470062
2026-02-03 11:00:00,10.6675,10.67,10.665,10.6675,273.0,1.0053934464875058,1.0053934464875058,1.0,1.0053934464875058,1.0053934464875058,1.0053934464875058,1.0053934464875058,1.0053934464875058,1.0,1.0,1.0053934464875058,1.0053934464875058
2026-02-03 11:15:00,10.665,10.675,10.6625,10.6725,447.0,1.0058649222065064,1.0058649222065064,1.0,1.0058649222065064,1.0058649222065064,1.0058649222065064,1.0058649222065064,1.0058649222065064,1.0,1.0,1.0058649222065064,1.0058649222065064
2026-02-03 11:30:00,10.6725,10.675,10.6675,10.6725,407.0,1.0058649222065064,1.0058649222065064,1.0,1.0058649222065064,1.0058649222065064,1.0058649222065064,1.0058649222065064,1.0058649222065064,1.0,1.0,1.0058649222065064,1.0058649222065064
2026-02-03 11:45:00,10.6725,10.675,10.67,10.6725,105.0,1.0058649222065064,1.0058649222065064,1.0,1.0058649222065064,1.0058649222065064,1.0058649222065064,1.0058649222065064,1.0058649222065064,1.0,1.0,1.0058649222065064,1.0058649222065064
2026-02-03 12:00:00,10.6725,10.695,10.6725,10.6925,1408.0,1.0077508250825082,1.0077508250825082,1.0,1.0077508250825082,1.0077508250825082,1.0077508250825082,1.0077508250825082,1.0077508250825082,1.0,1.0,1.0077508250825082,1.0077508250825082
2026-02-03 12:15:00,10.6925,10.705,10.68,10.6825,1143.0,1.0068078736445072,1.0068078736445072,1.0,1.0068078736445072,1.0068078736445072,1.0068078736445072,1.0068078736445072,1.0068078736445072,1.0,1.0,1.0068078736445072,1.0068078736445072
2026-02-03 12:30:00,10.685,10.6975,10.6825,10.685,717.0,1.0070436115040076,1.0070436115040076,1.0,1.0070436115040076,1.0070436115040076,1.0070436115040076,1.0070436115040076,1.0070436115040076,1.0,1.0,1.0070436115040076,1.0070436115040076
2026-02-03 12:45:00,10.685,10.6975,10.685,10.695,424.0,1.0079865629420086,1.0079865629420086,1.0,1.0079865629420086,1.0079865629420086,1.0079865629420086,1.0079865629420086,1.0079865629420086,1.0,1.0,1.0079865629420086,1.0079865629420086
2026-02-03 13:00:00,10.6975,10.705,10.69,10.6975,1101.0,1.0082223008015088,1.0082223008015088,1.0,1.0082223008015088,1.0082223008015088,1.0082223008015088,1.0082223008015088,1.0082223008015088,1.0,1.0,1.0082223008015088,1.0082223008015088
2026-02-03 13:15:00,10.6975,10.7,10.68,10.6975,1500.0,1.0082223008015088,1.0082223008015088,1.0,1.0082223008015088,1.0082223008015088,1.0082223008015088,1.0082223008015088,1.0082223008015088,1.0,1.0,1.0082223008015088,1.0082223008015088
2026-02-03 13:30:00,10.6975,10.6975,10.6825,10.685,822.0,1.0070436115040076,1.0070436115040076,1.0,1.0070436115040076,1.0070436115040076,1.0070436115040076,1.0070436115040076,1.0070436115040076,1.0,1.0,1.0070436115040076,1.0070436115040076
2026-02-03 14:30:00,10.6825,10.71,10.67,10.68,8104.0,1.006572135785007,1.006572135785007,1.0,1.006572135785007,1.006572135785007,1.006572135785007,1.006572135785007,1.006572135785007,1.0,1.0,1.006572135785007,1.006572135785007
2026-02-03 14:45:00,10.6775,10.7025,10.6675,10.68,3402.0,1.006572135785007,1.006572135785007,1.0,1.006572135785007,1.006572135785007,1.006572135785007,1.006572135785007,1.006572135785007,1.0,1.0,1.006572135785007,1.006572135785007
2026-02-03 15:00:00,10.6825,10.695,10.6625,10.6775,2669.0,1.0063363979255069,1.0063363979255069,1.0,1.0063363979255069,1.0063363979255069,1.0063363979255069,1.0063363979255069,1.0063363979255069,1.0,1.0,1.0063363979255069,1.0063363979255069
2026-02-03 15:15:00,10.6775,10.68,10.6625,10.67,2191.0,1.0056291843470062,1.0056291843470062,1.0,1.0056291843470062,1.0056291843470062,1.0056291843470062,1.0056291843470062,1.0056291843470062,1.0,1.0,1.0056291843470062,1.0056291843470062
2026-02-03 15:30:00,10.67,10.6875,10.655,10.68,2154.0,1.006572135785007,1.006572135785007,1.0,1.006572135785007,1.006572135785007,1.006572135785007,1.006572135785007,1.006572135785007,1.0,1.0,1.006572135785007,1.006572135785007
2026-02-03 15:45:00,10.6825,10.6925,10.68,10.685,1217.0,1.0070436115040076,1.0070436115040076,1.0,1.0070436115040076,1.0070436115040076,1.0070436115040076,1.0070436115040076,1.0070436115040076,1.0,1.0,1.0070436115040076,1.0070436115040076
2026-02-03 16:00:00,10.685,10.685,10.67,10.6825,1515.0,1.0068078736445072,1.0068078736445072,1.0,1.0068078736445072,1.0068078736445072,1.0068078736445072,1.0068078736445072,1.0068078736445072,1.0,1.0,1.0068078736445072,1.0068078736445072
2026-02-03 16:15:00,10.68,10.6875,10.665,10.665,759.0,1.0046577086280055,1.0046577086280055,1.0,1.0046577086280055,1.0046577086280055,1.0046577086280055,1.0046577086280055,1.0046577086280055,1.0,1.0,1.0046577086280055,1.0046577086280055
2026-02-03 16:30:00,10.665,10.6725,10.655,10.6575,1272.0,1.0046577086280055,1.0046577086280055,1.0,1.0046577086280055,1.0046577086280055,1.0046577086280055,1.0046577086280055,1.0046577086280055,1.0,1.0,1.0046577086280055,1.0046577086280055
2026-02-03 16:45:00,10.655,10.6675,10.65,10.6625,1319.0,1.0046577086280055,1.0046577086280055,1.0,1.0046577086280055,1.0046577086280055,1.0046577086280055,1.0046577086280055,1.0046577086280055,1.0,1.0,1.0046577086280055,1.0046577086280055
2026-02-03 17:00:00,10.66,10.6925,10.6475,10.6775,1967.0,1.0046577086280055,1.0046577086280055,1.0,1.0046577086280055,1.0046577086280055,1.0046577086280055,1.0046577086280055,1.0046577086280055,1.0,1.0,1.0046577086280055,1.0046577086280055
2026-02-03 17:15:00,10.675,10.685,10.665,10.67,999.0,1.0046577086280055,1.0046577086280055,1.0,1.0046577086280055,1.0046577086280055,1.0046577086280055,1.0046577086280055,1.0046577086280055,1.0,1.0,1.0046577086280055,1.0046577086280055
2026-02-03 17:30:00,10.67,10.675,10.66,10.6725,919.0,1.0046577086280055,1.0046577086280055,1.0,1.0046577086280055,1.0046577086280055,1.0046577086280055,1.0046577086280055,1.0046577086280055,1.0,1.0,1.0046577086280055,1.0046577086280055
2026-02-03 17:45:00,10.6725,10.685,10.6675,10.6775,1334.0,1.0046577086280055,1.0046577086280055,1.0,1.0046577086280055,1.0046577086280055,1.0046577086280055,1.0046577086280055,1.0046577086280055,1.0,1.0,1.0046577086280055,1.0046577086280055
2026-02-03 18:00:00,10.6775,10.6825,10.6525,10.6575,1292.0,1.0046577086280055,1.0046577086280055,1.0,1.0046577086280055,1.0046577086280055,1.0046577086280055,1.0046577086280055,1.0046577086280055,1.0,1.0,1.0046577086280055,1.0046577086280055
2026-02-03 18:15:00,10.6575,10.66,10.6425,10.6425,1318.0,1.0046577086280055,1.0046577086280055,1.0,1.0046577086280055,1.0046577086280055,1.0046577086280055,1.0046577086280055,1.0046577086280055,1.0,1.0,1.0046577086280055,1.0046577086280055
2026-02-03 18:30:00,10.6425,10.6575,10.64,10.6525,1731.0,1.0046577086280055,1.0046577086280055,1.0,1.0046577086280055,1.0046577086280055,1.0046577086280055,1.0046577086280055,1.0046577086280055,1.0,1.0,1.0046577086280055,1.0046577086280055
2026-02-03 18:45:00,10.6525,10.6525,10.64,10.6475,2019.0,1.0046577086280055,1.0046577086280055,1.0,1.0046577086280055,1.0046577086280055,1.0046577086280055,1.0046577086280055,1.0046577086280055,1.0,1.0,1.0046577086280055,1.0046577086280055
2026-02-03 19:00:00,10.65,10.6625,10.6275,10.66,6078.0,1.0046577086280055,1.0046577086280055,1.0,1.0046577086280055,1.0046577086280055,1.0046577086280055,1.0046577086280055,1.0046577086280055,1.0,1.0,1.0046577086280055,1.0046577086280055
2026-02-03 19:15:00,10.6575,10.67,10.655,10.6675,1766.0,1.0046577086280055,1.0046577086280055,1.0,1.0046577086280055,1.0046577086280055,1.0046577086280055,1.0046577086280055,1.0046577086280055,1.0,1.0,1.0046577086280055,1.0046577086280055
